"","SaleDate","Vessel","Price","YearBuilt","Age.at.Sale","DWT","Capesize","Sale.Month","Sale.Year","AgeAtSaleDifference","AgeAtSaleWeightRange","AgeAtSaleWeightDifference","DWTDifference","DWTWeightRange","DWTWeight","CapeSizeDifference","CapeSizeWeightRange","CapeSizeWeight","TotalWeight"
"33","7-Nov","Sumihou",106,1996,11,171.1,9663,11,2007,0,0,0,0.9,0.01,0.01,3086,0.38,0.13,0.11
"45","8-Mar","Cape Sun",135,1999,9,171.7,11193,3,2008,2,0.13,0.1,0.3,0,0,1556,0.19,0.07,0.14
"22","7-May","Ingenious",64.2,1996,11,170,6201,5,2007,0,0,0,2,0.03,0.01,6548,0.81,0.28,0.23
"47","8-May","Cape Falcon",87.2,1993,15,161.5,12479,5,2008,4,0.27,0.21,10.5,0.14,0.07,270,0.03,0.01,0.23
"20","7-May","Zorbas II",86,1996,11,174.5,6201,5,2007,0,0,0,2.5,0.03,0.02,6548,0.81,0.28,0.24
"21","7-May","Fertilia",50.5,1997,10,172.6,6201,5,2007,1,0.07,0.05,0.6,0.01,0,6548,0.81,0.28,0.27
"10","7-Mar","Zorbas",70,1996,11,165.1,5245,3,2007,0,0,0,6.9,0.09,0.05,7504,0.93,0.33,0.31
"29","7-Oct","Tiger Lily",90,1995,12,149.2,8886,10,2007,1,0.07,0.05,22.8,0.31,0.16,3863,0.48,0.17,0.31
"34","7-Nov","Gran Trader",152,2001,6,172.6,9663,11,2007,5,0.33,0.26,0.6,0.01,0,3086,0.38,0.13,0.31
"46","8-Apr","Nightflight",158,2004,4,170,11614,4,2008,7,0.47,0.37,2,0.03,0.01,1135,0.14,0.05,0.35
"35","7-Nov","Netadola",97,1993,14,149.5,9663,11,2007,3,0.2,0.16,22.5,0.31,0.16,3086,0.38,0.13,0.36
"9","7-Mar","Johnny K",65,1994,13,165.3,5245,3,2007,2,0.13,0.1,6.7,0.09,0.05,7504,0.93,0.33,0.39
"12","7-Mar","Martha Verity",63,1995,12,158,5245,3,2007,1,0.07,0.05,14,0.19,0.1,7504,0.93,0.33,0.39
"41","8-Jan","Jin Tai",155,2004,4,173.9,10526,1,2008,7,0.47,0.37,1.9,0.03,0.01,2223,0.27,0.1,0.39
"4","7-Jan","Martha Verity",60,1995,12,158,4647,1,2007,1,0.07,0.05,14,0.19,0.1,8102,1,0.35,0.4
"17","7-Apr","Formosabulk Allstart",67,1995,12,150.4,5752,4,2007,1,0.07,0.05,21.6,0.29,0.15,6997,0.86,0.3,0.4
"40","8-Jan","Sinfonia",83.7,1991,17,184.4,10526,1,2008,6,0.4,0.31,12.4,0.17,0.09,2223,0.27,0.1,0.4
"6","7-Feb","Pantelis SP",83,1999,8,169.9,4878,2,2007,3,0.2,0.16,2.1,0.03,0.01,7871,0.97,0.34,0.41
"26","7-Jul","Gran Trader",105,2001,6,172.5,6980,7,2007,5,0.33,0.26,0.5,0.01,0,5769,0.71,0.25,0.41
"37","7-Nov","Captain Vangelis L",87.5,1992,15,148.2,9663,11,2007,4,0.27,0.21,23.8,0.32,0.17,3086,0.38,0.13,0.41
"1","7-Jan","Lowlands Beilun",73,1999,8,170.2,4647,1,2007,3,0.2,0.16,1.8,0.02,0.01,8102,1,0.35,0.42
"5","7-Jan","TMT TBN",61.3,1993,14,174.7,4647,1,2007,3,0.2,0.16,2.7,0.04,0.02,8102,1,0.35,0.43
"23","7-Jun","Anangel Dawn",67,1994,13,149.3,6618,6,2007,2,0.13,0.1,22.7,0.31,0.16,6131,0.76,0.27,0.43
"3","7-Jan","Spring Brave",62,1995,12,151.1,4647,1,2007,1,0.07,0.05,20.9,0.28,0.15,8102,1,0.35,0.44
