,SaleDate,Vessel,Price,YearBuilt,Age.at.Sale,DWT,Capesize,AgeAtSaleDifference,AgeAtSaleWeightRange,AgeAtSaleWeightDifference,DWTDifference,DWTWeightRange,DWTWeight,CapeSizeDifference,CapeSizeWeight,TotalWeight,CapeSizeWeightRange
33,7-Nov,Sumihou,106,1996,11,171.1,9663,0,0,0,0.6,0.01,0,9037,0.23,0.23,0.64
45,8-Mar,Cape Sun,135,1999,9,171.7,11193,2,0.13,0.1,0,0,0,7507,0.19,0.29,0.53
22,7-May,Ingenious,64.2,1996,11,170,6201,0,0,0,1.7,0.02,0.01,12499,0.31,0.32,0.89
20,7-May,Zorbas II,86,1996,11,174.5,6201,0,0,0,2.8,0.04,0.02,12499,0.31,0.33,0.89
21,7-May,Fertilia,50.5,1997,10,172.6,6201,1,0.07,0.05,0.9,0.01,0.01,12499,0.31,0.37,0.89
10,7-Mar,Zorbas,70,1996,11,165.1,5245,0,0,0,6.6,0.09,0.05,13455,0.34,0.39,0.96
47,8-May,Cape Falcon,87.2,1993,15,161.5,12479,4,0.27,0.21,10.2,0.14,0.07,6221,0.16,0.44,0.44
29,7-Oct,Tiger Lily,90,1995,12,149.2,8886,1,0.07,0.05,22.5,0.31,0.16,9814,0.25,0.46,0.7
9,7-Mar,Johnny K,65,1994,13,165.3,5245,2,0.13,0.1,6.4,0.09,0.04,13455,0.34,0.48,0.96
12,7-Mar,Martha Verity,63,1995,12,158,5245,1,0.07,0.05,13.7,0.19,0.1,13455,0.34,0.49,0.96
4,7-Jan,Martha Verity,60,1995,12,158,4647,1,0.07,0.05,13.7,0.19,0.1,14053,0.35,0.5,1
34,7-Nov,Gran Trader,152,2001,6,172.6,9663,5,0.33,0.26,0.9,0.01,0.01,9037,0.23,0.5,0.64
1,7-Jan,Lowlands Beilun,73,1999,8,170.2,4647,3,0.2,0.16,1.5,0.02,0.01,14053,0.35,0.52,1
6,7-Feb,Pantelis SP,83,1999,8,169.9,4878,3,0.2,0.16,1.8,0.02,0.01,13822,0.35,0.52,0.98
17,7-Apr,Formosabulk Allstart,67,1995,12,150.4,5752,1,0.07,0.05,21.3,0.29,0.15,12948,0.32,0.52,0.92
5,7-Jan,TMT TBN,61.3,1993,14,174.7,4647,3,0.2,0.16,3,0.04,0.02,14053,0.35,0.53,1
3,7-Jan,Spring Brave,62,1995,12,151.1,4647,1,0.07,0.05,20.6,0.28,0.14,14053,0.35,0.54,1
35,7-Nov,Netadola,97,1993,14,149.5,9663,3,0.2,0.16,22.2,0.3,0.16,9037,0.23,0.55,0.64
16,7-Apr,Nautical Dream,63.5,1994,13,151.4,5752,2,0.13,0.1,20.3,0.28,0.14,12948,0.32,0.56,0.92
23,7-Jun,Anangel Dawn,67,1994,13,149.3,6618,2,0.13,0.1,22.4,0.31,0.16,12082,0.3,0.56,0.86
26,7-Jul,Gran Trader,105,2001,6,172.5,6980,5,0.33,0.26,0.8,0.01,0.01,11720,0.29,0.56,0.83
46,8-Apr,Nightflight,158,2004,4,170,11614,7,0.47,0.37,1.7,0.02,0.01,7086,0.18,0.56,0.5
