SaleDate,Vessel,Price,YearBuilt,Age at Sale,DWT,Capesize,Sale Month,Sale Year
7-Jan,Lowlands Beilun,73,1999,8,170.2,4647,1,2007
7-Jan,CHS Moon,45,1991,16,150.2,4647,1,2007
7-Jan,Spring Brave,62,1995,12,151.1,4647,1,2007
7-Jan,Martha Verity,60,1995,12,158,4647,1,2007
7-Jan,TMT TBN,61.3,1993,14,174.7,4647,1,2007
7-Feb,Pantelis SP,83,1999,8,169.9,4878,2,2007
7-Feb,Amazon,45,1990,17,149.5,4878,2,2007
7-Mar,Cape Kassos,100,2004,3,170,5245,3,2007
7-Mar,Johnny K,65,1994,13,165.3,5245,3,2007
7-Mar,Zorbas,70,1996,11,165.1,5245,3,2007
7-Mar,Americana,33,1987,20,149,5245,3,2007
7-Mar,Martha Verity,63,1995,12,158,5245,3,2007
7-Mar,Ullswater,43,1990,17,123.5,5245,3,2007
7-Apr,Formosabulk Brave,95,2001,6,170.1,5752,4,2007
7-Apr,Formosabulk Clement,95,2001,6,170.1,5752,4,2007
7-Apr,Nautical Dream,63.5,1994,13,151.4,5752,4,2007
7-Apr,Formosabulk Allstart,67,1995,12,150.4,5752,4,2007
7-Apr,Arimathian,62,1994,13,149.8,5752,4,2007
7-Apr,Boss,31,1985,22,139.8,5752,4,2007
7-May,Zorbas II,86,1996,11,174.5,6201,5,2007
7-May,Fertilia,50.5,1997,10,172.6,6201,5,2007
7-May,Ingenious,64.2,1996,11,170,6201,5,2007
7-Jun,Anangel Dawn,67,1994,13,149.3,6618,6,2007
7-Jun,Orient Fortune,28,1984,23,161.4,6618,6,2007
7-Jul,Great Moon,30,1984,23,146,6980,7,2007
7-Jul,Gran Trader,105,2001,6,172.5,6980,7,2007
7-Aug,Cape Brazil,22,1981,26,140.8,7441,8,2007
7-Sep,Thalassini Kyra,133,2002,5,164.2,8181,9,2007
7-Oct,Tiger Lily,90,1995,12,149.2,8886,10,2007
7-Oct,Dong-A-Helios,47,1986,21,146.9,8886,10,2007
7-Oct,Marine Hunter,45,1984,23,164.5,8886,10,2007
7-Oct,Peace Glory,57,1984,23,166.1,8886,10,2007
7-Nov,Sumihou,106,1996,11,171.1,9663,11,2007
7-Nov,Gran Trader,152,2001,6,172.6,9663,11,2007
7-Nov,Netadola,97,1993,14,149.5,9663,11,2007
7-Nov,Nordstar,38,1983,24,150.7,9663,11,2007
7-Nov,Captain Vangelis L,87.5,1992,15,148.2,9663,11,2007
7-Dec,Voutakos,78,1987,20,188.3,10299,12,2007
7-Dec,Sachuest,35,1986,21,98.4,10299,12,2007
8-Jan,Sinfonia,83.7,1991,17,184.4,10526,1,2008
8-Jan,Jin Tai,155,2004,4,173.9,10526,1,2008
8-Feb,Dias,58,1988,20,135,10844,2,2008
8-Mar,Desimi,83,1989,19,207.1,11193,3,2008
8-Mar,Samos,25,1982,26,137,11193,3,2008
8-Mar,Cape Sun,135,1999,9,171.7,11193,3,2008
8-Apr,Nightflight,158,2004,4,170,11614,4,2008
8-May,Cape Falcon,87.2,1993,15,161.5,12479,5,2008
8-May,Castle Peak,82,1990,18,145.4,12479,5,2008
